id,city_name,main,date_time,description,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,icon,base,visibility,dt,timezone,cod,coord_lon,coord_lat,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id
800,Paris,Clear,2025-05-30 14:26:09.674263,clear sky,29.67,29.42,28.88,30.59,1020,41,1020,1009,3.09,220,,0,01d,stations,10000,1748614871,7200,200,2.3488,48.8534,FR,1748577194,1748634206,2.0,2012208.0
802,Berlin,Clouds,2025-05-30 14:26:09.825918,scattered clouds,23.98,24.05,23.25,25.18,1017,62,1017,1011,5.66,270,,40,03d,stations,10000,1748614619,7200,200,13.4105,52.5244,DE,1748573484,1748632606,2.0,2011538.0
800,Madrid,Clear,2025-05-30 14:26:09.935333,clear sky,33.64,31.98,32.9,34.81,1018,24,1018,945,4.12,240,,0,01d,stations,10000,1748614707,7200,200,-3.7026,40.4165,ES,1748580473,1748633832,2.0,2084029.0
804,Rome,Clouds,2025-05-30 14:26:10.032176,overcast clouds,21.56,22.2,20.49,22.53,1012,93,1012,987,3.09,0,,100,04d,stations,10000,1748614760,-14400,200,-85.1647,34.257,US,1748601035,1748652376,2.0,2038061.0
804,Vienna,Clouds,2025-05-30 14:26:10.144996,overcast clouds,21.89,21.91,19.41,23.19,1021,68,1021,994,0.89,327,3.13,93,04d,stations,10000,1748615044,7200,200,16.3721,48.2085,AT,1748573995,1748630673,2.0,2037878.0
801,Athens,Clouds,2025-05-30 14:26:10.263807,few clouds,24.04,23.75,22.64,25.09,1010,48,1010,987,7.15,313,11.18,20,02d,stations,10000,1748614637,10800,200,23.7162,37.9795,GR,1748574320,1748626823,2.0,2005332.0
800,Warsaw,Clear,2025-05-30 14:26:10.371582,clear sky,19.07,18.49,17.88,19.95,1015,56,1015,1006,6.69,270,,0,01d,stations,10000,1748614947,7200,200,21.0118,52.2298,PL,1748571754,1748630687,2.0,2035775.0
801,Amsterdam,Clouds,2025-05-30 14:26:10.469038,few clouds,20.52,20.32,19.33,22.71,1019,65,1019,1019,8.23,240,,20,02d,stations,10000,1748614915,7200,200,4.8897,52.374,NL,1748575575,1748634605,2.0,2046553.0
802,Brussels,Clouds,2025-05-30 14:26:10.584903,scattered clouds,25.49,25.64,24.89,26.55,1019,59,1019,1012,4.12,250,,40,03d,stations,10000,1748614484,7200,200,4.3488,50.8504,BE,1748576166,1748634274,1.0,1227.0
804,Copenhagen,Clouds,2025-05-30 14:26:10.687546,overcast clouds,18.96,18.87,18.94,19.19,1012,75,1012,1010,8.23,240,,100,04d,stations,10000,1748614956,7200,200,12.5655,55.6759,DK,1748572570,1748633925,2.0,2035645.0
